;iso;gdp
0;ABW;29008
1;AFG;502
2;AGO;2974
3;ALB;5353
4;AND;40886
5;ARB;6580
6;ARE;43103
7;ARG;10006
8;ARM;4623
9;ASM;11467
10;ATG;17790
11;AUS;54907
12;AUT;50277
13;AZE;4794
14;BDI;261
15;BEL;46117
16;BEN;1219
17;BFA;775
18;BGD;1856
19;BGR;9738
20;BHR;23504
21;BHS;32933
22;BIH;6073
23;BLR;6663
24;BLZ;4815
25;BMU;85748
26;BOL;3552
27;BRA;8717
28;BRB;18148
29;BRN;31087
30;BTN;3243
31;BWA;7961
32;CAF;468
33;CAN;46195
34;CEB;16184
35;CHE;81994
36;CHI;74463
37;CHL;14896
38;CHN;10262
39;CIV;2286
40;CMR;1498
41;COD;545
42;COG;2011
43;COL;6432
44;COM;1394
45;CPV;3604
46;CRI;12238
47;CSS;10308
48;CUB;8822
49;CUW;19574
50;CYM;85477
51;CYP;27858
52;CZE;23102
53;DEU;46259
54;DJI;3409
55;DMA;8300
56;DNK;59822
57;DOM;8282
58;DZA;3948
59;EAP;8222
60;EAR;3641
61;EAS;11527
62;ECA;8111
63;ECS;24696
64;ECU;6184
65;EGY;3020
66;EMU;38926
67;ERI;643
68;ESP;29614
69;EST;23660
70;ETH;858
71;EUU;34843
72;FCS;2190
73;FIN;48686
74;FJI;6220
75;FRA;40494
76;FRO;58623
77;FSM;3568
78;GAB;7667
79;GBR;42300
80;GEO;4769
81;GHA;2202
82;GIB;61700
83;GIN;1064
84;GMB;751
85;GNB;698
86;GNQ;8132
87;GRC;19583
88;GRD;10966
89;GRL;54471
90;GTM;4620
91;GUM;35713
92;GUY;5468
93;HIC;44540
94;HKG;48756
95;HND;2575
96;HPC;947
97;HRV;14853
98;HTI;755
99;HUN;16476
100;IBD;6565
101;IBT;5228
102;IDA;1377
103;IDB;1762
104;IDN;4136
105;IDX;1186
106;IMN;80989
107;IND;2104
108;INX;0
109;IRL;78661
110;IRN;5520
111;IRQ;5955
112;ISL;66945
113;ISR;43641
114;ITA;33190
115;JAM;5582
116;JOR;4330
117;JPN;40247
118;KAZ;9731
119;KEN;1817
120;KGZ;1309
121;KHM;1643
122;KIR;1655
123;KNA;19896
124;KOR;31762
125;KWT;32032
126;LAC;8368
127;LAO;2535
128;LBN;7784
129;LBR;622
130;LBY;7684
131;LCA;11611
132;LCN;8847
133;LDC;1070
134;LIC;780
135;LIE;173356
136;LKA;3853
137;LMC;2177
138;LMY;5080
139;LSO;1158
140;LTE;10000
141;LTU;19455
142;LUX;114705
143;LVA;17836
144;MAC;84096
145;MAF;15400
146;MAR;3204
147;MCO;185829
148;MDA;4499
149;MDG;522
150;MDV;10791
151;MEA;8105
152;MEX;9863
153;MHL;3788
154;MIC;5575
155;MKD;6093
156;MLI;891
157;MLT;29416
158;MMR;1408
159;MNA;3794
160;MNE;8832
161;MNG;4295
162;MNP;23259
163;MOZ;492
164;MRT;1678
165;MUS;11204
166;MWI;412
167;MYS;11415
168;NAC;63182
169;NAM;4957
170;NCL;12580
171;NER;555
172;NGA;2230
173;NIC;1913
174;NLD;52448
175;NOR;75420
176;NPL;1071
177;NRU;9397
178;NZL;42084
179;OED;39399
180;OMN;15474
181;OSS;13982
182;PAK;1285
183;PAN;15731
184;PER;6978
185;PHL;3485
186;PLW;15859
187;PNG;2845
188;POL;15595
189;PRE;1472
190;PRI;32874
191;PRK;647
192;PRT;23145
193;PRY;5415
194;PSE;3199
195;PSS;4193
196;PST;45530
197;PYF;14324
198;QAT;64782
199;ROU;12920
200;RUS;11585
201;RWA;802
202;SAS;1960
203;SAU;23140
204;SDN;442
205;SEN;1447
206;SGP;65233
207;SLB;2128
208;SLE;504
209;SLV;4187
210;SMR;48481
211;SOM;127
212;SRB;7402
213;SSA;1573
214;SSD;1120
215;SSF;1585
216;SST;12731
217;STP;1995
218;SUR;6855
219;SVK;19329
220;SVN;25739
221;SWE;51610
222;SWZ;3837
223;SXM;15400
224;SYC;17402
225;SYR;2033
226;TCA;27142
227;TCD;710
228;TEA;8308
229;TEC;8989
230;TGO;676
231;THA;7808
232;TJK;871
233;TKM;6967
234;TLA;8681
235;TLS;1294
236;TMN;3800
237;TON;4364
238;TSA;1960
239;TSS;1585
240;TTO;17276
241;TUN;3318
242;TUR;9042
243;TUV;4059
244;TZA;1122
245;UGA;777
246;UKR;3659
247;UMC;9040
248;URY;16190
249;USA;65118
250;UZB;1725
251;VCT;7464
252;VEN;16054
253;VGB;34200
254;VIR;35938
255;VNM;2715
256;VUT;3058
257;WLD;11429
258;WSM;4316
259;XKX;4418
260;YEM;968
261;ZAF;6001
262;ZMB;1291
263;ZWE;1464
264;AIA;21068
265;COK;20240
266;GLP;25479
267;MTQ;24623
268;NIU;15586
269;MSR;13352
270;GGY;52500
271;GUF;16000
272;MYT;10800
273;JEY;52500
274;REU;23500
275;TWN;33402
276;VAT;2800
277;WLF;12848
278;XKO;4300
