,Continent,GDP_Capita,IncomeGroup,Area,Total_Edge_Length,Density,Edge_Connectivity,Edge_No,Clique_No,Ave_Path_Length,Assortativity,Diameter,Max_Degree,Transivitity,Articulation_Points,max_5perc_isolated,max_10perc_isolated,max_20perc_isolated,mean_5perc_isolated,mean_10perc_isolated,mean_20perc_isolated,min_5perc_isolated,min_10perc_isolated,min_20perc_isolated,max_5perc_surloss_e2,max_10perc_surloss_e2,max_20perc_surloss_e2,mean_5perc_surloss_e2,mean_10perc_surloss_e2,mean_20perc_surloss_e2,min_5perc_surloss_e2,min_10perc_surloss_e2,min_20perc_surloss_e2,areaLog,edgeLog,edgeAreaLog
Aruba,Central-America,29008,High income,181.8430308646269,303637.3871845743,0.0060644121770351,1,956,3,15.640747013784486,-0.0150523684294388,40,10,0.1323273360417876,10,2.0,5.878787878787879,33.071717171717175,0.13979797979797978,1.2628282828282829,11.716060606060605,0.0,0.0,0.0,9.128263570546844,19.73256200386403,56.86858549312461,4.775233880305983,11.64329629091535,36.12856601777333,1.2481245681037985,5.181960751079139,21.224844480764734,5.2031438471607,12.623589463115993,7.420445615955292
Afghanistan,Asia,502,Low income,645838.7991077955,98322315.44182897,0.0001007568405583,1,36088,3,109.05715805626296,0.0948353423698276,326,11,0.0892319943372854,5835,40.620202020202015,74.14444444444445,99.2121212121212,24.28848484848485,56.881313131313135,98.27,11.695959595959595,40.81919191919192,97.04949494949494,72.07194597332332,96.12283834666938,99.99218318771617,55.89340750901543,83.76098841285973,99.68340857189723,41.566076093148304,71.27228716799725,98.69778121393684,13.378305214640369,18.40376157300404,5.025456358363672
Angola,Africa,2974,Lower middle income,1251923.6332830794,41317289.80458367,0.0005311724286793,1,8859,4,54.66858144164238,0.1355152562557388,130,13,0.1453851492019431,419,19.155555555555534,47.810101010100986,92.66868686868686,10.687676767676766,26.16181818181818,82.49757575757576,2.0,11.696969696969695,63.590909090909086,94.18219585288776,99.52282941529036,99.97337467815672,83.47145012932562,95.96411255033794,99.64280509661602,69.6087055194145,90.93884646905543,98.16691679064508,14.040191833001575,17.53679160966243,3.496599776660855
Albania,Europe,5353,Upper middle income,28717.488344159905,8194039.920706451,0.0007992356582062,1,5772,3,50.82041083371412,0.0444216503422369,176,12,0.145521384380884,399,24.343434343434343,56.75353535353534,90.3939393939394,12.424949494949495,32.62353535353535,78.7689898989899,3.97979797979798,17.19191919191919,63.898989898989896,49.83133269252596,72.31274951407386,97.4760841092303,40.10312624118035,60.669612143879895,86.47463120098595,29.05895675355189,49.749729337959415,78.10779439092678,10.265261566140131,15.918917609020758,5.653656042880626
Andorra,Europe,40886,High income,451.74200976633006,313069.9070477983,0.0104761904761904,1,473,3,23.63145071982281,-0.074576143895158,73,10,0.1524725274725274,68,36.65959595959595,58.31111111111109,80.6,15.605555555555556,31.253434343434346,63.76323232323232,0.0,5.91919191919192,39.945454545454545,40.28581393851515,56.14350001093929,88.03260883330493,18.02410011133559,34.00614013744799,61.382919490383564,1.6303450560904094,12.72497653800267,36.44034553062573,6.113111242025003,12.654181789785097,6.5410705477600946
United Arab Emirates,Asia,43103,High income,71294.33504006521,21520917.51726825,0.000117538447982,1,47076,4,77.2155602179273,0.112614934872928,256,18,0.1516855625069039,763,11.676767676767676,34.767676767676576,78.34545454545454,4.792121212121213,15.889595959595958,61.093737373737376,0.0,3.97979797979798,39.33333333333333,57.01317447286924,75.21136029412813,95.26788590214345,50.57822958253474,68.97032203712669,88.6627954768243,43.481831116814206,63.36758976602835,84.61390133280729,11.17457215079237,16.88453592790978,5.70996377711741
Argentina,South-America,10006,Upper middle income,2788217.5695466255,203534692.19307283,4.558329033036018e-05,1,110573,4,130.2677867321767,0.0603255670876217,416,12,0.1380001270836422,3935,11.696969696969695,27.700000000000003,84.85555555555555,6.865151515151515,17.838383838383837,71.16919191919192,2.0,9.7979797979798,57.33434343434344,93.14376882734115,97.95110799998774,99.87296336691792,88.5927111980272,96.2241038196567,99.37294523421991,83.39127246984249,94.1176378412638,98.84697121486673,14.840913085675226,19.131347025924505,4.2904339402492795
Armenia,Asia,4623,Upper middle income,29669.474273066295,9772087.228996484,0.0006287921606854,1,6982,4,42.95438933312008,0.1043933520498562,120,8,0.0965556182947487,481,34.59797979797979,52.918181818181786,87.8141414141414,14.617676767676766,35.355858585858584,76.22414141414141,2.0,15.433333333333334,62.10606060606061,65.0842200227256,78.27817390708414,93.52289582196225,56.43590102434797,73.2334845127549,87.83149098737339,45.452972721403405,66.98632577588161,82.98466049726025,10.2978739939862,16.095040637742,5.7971666437558
American Samoa,Oceania,11467,Upper middle income,223.27625795982456,118359.51355942158,0.0608695652173913,1,63,3,6.417391304347826,0.2489270386266094,16,6,0.0967741935483871,13,50.32258064516129,69.74193548387095,86.03225806451611,20.93548387096774,39.32795698924731,71.46774193548387,0.0,6.451612903225806,44.096774193548384,53.8896092929486,79.29285565596425,96.8393632944486,18.994333468677915,38.10583559857054,76.61849153543244,0.61760250036008,3.7688801126263884,36.02407487853547,5.408409829681609,11.68148199666641,6.273072166984801
Antigua & Barbuda,Central-America,17790,High income,435.63753293644277,229873.18680434875,0.0168625146886016,1,287,3,10.107285546415982,-0.054805941705945,27,6,0.0830039525691699,24,12.303485987696511,14.866712235133289,30.111073137388928,2.2981886534518114,4.832706766917293,12.757689678742311,0.0,0.0,0.0,14.541857444522813,22.757507979264457,39.86289179031554,5.1035347094110675,10.931601710881296,24.37108130020051,0.721528581065363,3.1509263130892204,12.142366064144753,6.076810551112859,12.345283074129341,6.268472523016483
Australia,Oceania,54907,High income,7884562.122102202,318629738.9102234,2.3594582554294542e-05,1,218551,4,145.48079091990166,0.0131155281167627,355,12,0.166354122557619,5029,19.152525252525233,56.961616161616156,83.05757575757576,10.776262626262627,29.894444444444442,74.07515151515152,3.97979797979798,15.433333333333334,60.11212121212121,98.62439379319618,99.95408579320775,99.9990780705491,95.69438693439729,99.26672101264894,99.99644413351248,93.16857799396499,97.99096260853521,99.99216441709528,15.88041724381281,19.57954029355183,3.6991230497390206
Austria,Europe,50277,High income,83836.40509991841,44807016.18842584,9.363417139474383e-05,1,48471,4,93.21702722812392,0.0258621031550953,306,11,0.1539781691041657,1954,15.517171717171689,47.99494949494947,70.2131313131313,8.578585858585859,27.633333333333336,61.50545454545455,2.0,11.582828282828284,52.24141414141415,75.3698835384678,92.10103669753298,99.11949204438784,67.59847505675798,85.15908417235592,97.26459315853295,59.05891923707361,79.34949428366176,95.38147629518934,11.33662262053346,17.617875296471727,6.281252675938269
Azerbaijan,Asia,4794,Upper middle income,86288.10797858908,19937885.659376733,0.0003136680881488,1,12986,3,87.90763008614641,0.1136760149883221,250,16,0.1113095238095238,1496,34.21414141414141,73.67171717171716,98.04141414141414,19.770404040404042,52.29484848484849,96.21272727272728,7.878787878787878,35.997979797979795,92.9171717171717,73.21017663882186,96.31225168507994,99.24267806429009,63.49379871421309,84.55125497741102,97.14981722955314,53.880469527921875,75.84101977272256,94.33847713675175,11.365447068950566,16.808132281739272,5.442685212788705
Burundi,Africa,261,Low income,26983.902711806455,13680832.680570692,0.0008959448518927,1,5074,3,37.68710282618158,0.0458443378298193,108,8,0.1186793575252825,109,7.858585858585859,15.317171717171714,40.797979797979785,3.017171717171717,7.125959595959596,26.12222222222222,0.0,0.0,13.555555555555555,16.451316776363495,28.913919505706456,67.37764792800783,8.799643790835752,18.649022508021808,48.0418229743731,4.337784550393592,10.883927640125169,34.741786988738774,10.202995771332024,16.43150633676904,6.2285105654370145
Belgium,Europe,46117,High income,30696.378978640474,34749517.40225929,7.205686549309302e-05,1,65778,3,74.51655690137802,0.0796866100290765,202,10,0.1664596553826697,1242,7.878787878787878,11.789898989898957,34.54545454545455,3.225858585858586,7.5196969696969695,25.16030303030303,0.0,2.0,15.434343434343434,52.1027091806392,74.32402121581387,96.29114179403646,41.486306614592785,66.36519677210502,92.90323698430711,32.15296552445379,57.903085909465446,89.17102462707057,10.331899978040322,17.36367624217387,7.0317762641335495
Benin,Africa,1219,Lower middle income,115359.1293343792,13447494.236810548,0.0011183349568669,1,4172,3,46.42531361361045,0.0734302108967777,128,10,0.1190965092402464,325,18.95454545454545,59.67676767676768,86.55252525252526,9.686666666666666,27.395353535353532,73.46020202020202,2.0,9.7979797979798,50.93939393939394,66.78029327349536,86.81958397513061,99.11866232954564,45.89686813110907,70.04090714161876,92.44860770702859,28.504197163153215,57.41421445789671,81.42358160139489,11.655805405111474,16.414303344559862,4.758497939448388
