,no_edges,pct_edges_cause_isolation,avg_pct_trips_isolated,max_pct_trips_isolated,pct_edges_cause_delay,avg_pct_trips_delayed,max_pct_trips_delayed,IncomeLevel,GDP_CAP,AreaKM,Continent,SIDS,mean_slope,max_slope,landlocked,population,builtarea,Density,Clique_No,Edge_Connectivity,Ave_Path_Length,Assortativity,Diameter,Max_Degree,Transivitity,Articulation_Points,Total_Edge_Length,logGDP_CAP,logAREA,logPOP,POP_AREA,logEdges
MAF,105.0,20.95,20.92,51.52,45.71,17.71,51.14,High income,15400.0,56.122879035008964,Central-America,2.0,4.428571428571429,10.0,0.0,41176.6015625,10.962603759765624,0.0434782608695652,3.0,1.0,11.938302277432712,-0.164518109269491,32.0,8.0,0.1025641025641025,33.0,59718.59263109932,9.642122788401721,4.027543555326245,10.625625450767838,733.6865511980309,4.653960350157523
SXM,167.0,6.59,10.37,27.38,55.69,14.39,49.68,High income,15400.0,37.97685135041401,Central-America,2.0,2.340909090909091,10.0,0.0,29312.833984375,26.308242797851562,0.0311799850634802,3.0,1.0,11.517363704256908,-0.1981784386617109,35.0,8.0,0.1111111111111111,22.0,62883.550251107845,9.642122788401721,3.6369767991148088,10.285780719046965,771.8605661618507,5.117993812416755
PNG,720.0,19.17,10.22,50.51,34.03,11.29,50.51,Lower middle income,2845.0,465313.4407848903,Oceania,2.0,6.677017057831915,55.0,0.0,8617461.0,0.006535025301945279,0.0044712720769058,3.0,1.0,36.82897384305835,0.0668040484140233,100.0,8.0,0.1023017902813299,216.0,5983494.787331083,7.953318346560431,13.050466523692974,15.969301051688417,18.51969069594051,6.579251212010101
CPV,551.0,1.27,3.45,3.45,47.91,8.93,41.02,Lower middle income,3604.0,4098.774054366201,Africa,1.0,8.653736799350122,46.0,0.0,518789.125,0.47796453360072344,0.0087197341351479,3.0,1.0,18.19240386137047,0.0385284377892015,49.0,8.0,0.2158273381294964,11.0,369489.2434677332,8.189799618728228,8.318443196849463,13.15925276936972,126.57177929760782,6.311734809152915
STP,154.0,5.19,9.6,29.02,68.18,9.89,33.78,Lower middle income,1995.0,1003.0608032125006,Africa,1.0,8.83868169991327,40.0,0.0,191013.15625,0.004538733253525468,0.0304950495049504,3.0,1.0,8.063168316831684,0.1306451612903228,24.0,7.0,0.2307692307692307,11.0,271999.0977618994,7.598399329323964,6.910811407472991,12.160097585546639,190.4302866169654,5.0369526024136295
SYC,236.0,1.69,4.88,4.88,68.22,13.18,47.68,High income,17402.0,493.7103810281926,Africa,1.0,5.534825870646766,23.0,0.0,91491.890625,0.6422217314380065,0.0200322553263729,3.0,1.0,10.03548085901027,-0.0014852535539994,24.0,6.0,0.2256637168141592,4.0,144929.4568424079,9.76434042112597,6.2019490720402946,11.424005620286824,185.31490149034457,5.4638318050256105
TGO,2040.0,2.3,6.25,50.0,35.83,5.68,49.78,Low income,676.0,57021.948662604045,Africa,0.0,1.5576135959188515,21.0,0.0,8106789.0,0.4406699893383132,0.0022978717652386,3.0,1.0,35.53274692547011,0.0934775332508829,101.0,8.0,0.11794500723589,110.0,6573632.745254283,6.516193076042964,10.951191536954685,15.908212416740797,142.16962398053872,7.620705086838262
COM,267.0,6.37,3.6,8.56,59.93,11.25,32.22,Lower middle income,1394.0,1672.7701693878212,Africa,1.0,12.699424986931522,43.0,0.0,794047.25,1.7464242734765905,0.0169491525423728,3.0,1.0,12.710975687170698,-0.0757709251101327,28.0,8.0,0.1255506607929515,18.0,366370.8235016935,7.2399325913204695,7.422236315212605,13.584898247274815,474.68998702349836,5.58724865840025
GNB,368.0,14.4,7.17,35.53,39.67,7.15,42.95,Low income,698.0,33860.10469763923,Africa,1.0,0.4383388638502303,6.0,0.0,1768625.5,0.2009617484675756,0.0109296109296109,3.0,1.0,15.913899613899614,0.0106336021828985,37.0,8.0,0.1834061135371179,62.0,2021636.017312381,6.548219102762372,10.429992747756748,14.385713249203706,52.23331456867322,5.908082938168931
MDV,56.0,8.93,48.0,60.0,25.0,44.29,60.0,Upper middle income,10791.0,299.73733674845784,Asia,1.0,0.05,1.0,0.0,299040.78125,5.441750081380208,0.0796586059743954,3.0,1.0,5.732574679943101,-0.0148270181219076,14.0,4.0,0.2242990654205607,8.0,18362.875490826795,9.286467732363734,5.702906546971724,12.60833523521273,997.6761136733446,4.02535169073515
SGP,13974.0,0.01,2.0,2.0,41.96,0.78,10.1,High income,65233.0,696.7693990358962,Asia,1.0,0.458955223880597,3.0,0.0,4293825.5,30.291695271309315,0.0003753007824674,4.0,1.0,36.04447198786812,0.1717380292032581,106.0,8.0,0.1559739729041586,98.0,2717110.7698218827,11.085720754840969,6.546454508150139,15.27268861849544,6162.477149457579,9.544953739112396
TLS,556.0,6.65,3.87,19.78,43.35,7.85,27.27,Lower middle income,1294.0,14942.063042198897,Asia,1.0,8.200931924082282,41.0,0.0,1314375.625,0.15389488653604952,0.007886524822695,3.0,1.0,16.845943262411346,0.0446013293221871,45.0,8.0,0.1164510166358595,55.0,2277701.540645533,7.165493475060845,9.611935537654064,14.088872300950163,87.96480253683727,6.320768294250582
